iter	F1	Logloss
0	0.9090909091	0.6820218829
1	0.9333333333	0.6710784214
2	0.9470588235	0.6605563361
3	0.9470588235	0.6498849179
4	0.9562682216	0.6376360217
5	0.9675516224	0.6254338421
6	0.9644970414	0.6130440105
7	0.9704142012	0.6023290863
8	0.9704142012	0.5921192972
9	0.9761904762	0.5822620399
10	0.9702380952	0.5737747947
11	0.9671641791	0.5637978862
12	0.9642857143	0.5546876853
13	0.9642857143	0.5463182621
14	0.9583333333	0.5373273483
15	0.9614243323	0.527975477
16	0.9671641791	0.519045578
17	0.9642857143	0.5104832636
18	0.9671641791	0.5026221461
19	0.9700598802	0.4942307263
20	0.9671641791	0.4869892377
21	0.9702380952	0.4786286581
22	0.960960961	0.4709917472
23	0.9671641791	0.4644054711
24	0.9671641791	0.4570120862
25	0.9702380952	0.4496899302
26	0.9702380952	0.4431971667
27	0.9702380952	0.4362726671
28	0.9671641791	0.429621249
29	0.9702380952	0.422202449
30	0.9640718563	0.4165715286
31	0.9671641791	0.4100164658
32	0.9640718563	0.4042033097
33	0.9702380952	0.3983176182
34	0.9700598802	0.3917049948
35	0.9760479042	0.385881536
36	0.9760479042	0.3793255447
37	0.9760479042	0.3733901662
38	0.9760479042	0.3675968422
39	0.9731343284	0.3635671539
40	0.9731343284	0.3577203453
41	0.9731343284	0.3524160747
42	0.9731343284	0.3481164585
43	0.9760479042	0.3434866949
44	0.9731343284	0.3384950236
45	0.9760479042	0.3340632951
46	0.9791044776	0.3296650258
47	0.9760479042	0.3254265641
48	0.9791044776	0.3206135276
49	0.9791044776	0.3166666202
50	0.9821428571	0.3125628074
51	0.9791044776	0.3081698865
52	0.9791044776	0.3038356188
53	0.9760479042	0.2997460967
54	0.9760479042	0.2956514606
55	0.9760479042	0.2925072924
56	0.9791044776	0.2884834028
57	0.9821428571	0.2848967736
58	0.9821428571	0.281361962
59	0.9821428571	0.278212753
60	0.9791044776	0.2748019001
61	0.9791044776	0.2712486475
62	0.9821428571	0.2677671362
63	0.9791044776	0.2651719199
64	0.9791044776	0.2625039847
65	0.9791044776	0.2589584347
66	0.9791044776	0.2559296473
67	0.9791044776	0.2528528769
68	0.9791044776	0.2501524551
69	0.9791044776	0.2473641832
70	0.9791044776	0.2445140042
71	0.9791044776	0.2413590282
72	0.9820359281	0.2379441415
73	0.9791044776	0.2349868462
74	0.9791044776	0.2322380071
75	0.9821428571	0.2291686579
76	0.9791044776	0.2263560664
77	0.9791044776	0.2238296645
78	0.9791044776	0.2213601493
79	0.9821428571	0.2193126035
80	0.9880952381	0.2166704706
81	0.9850746269	0.2143928915
82	0.9791044776	0.2125652958
83	0.9880952381	0.2109697582
84	0.9880952381	0.2090239888
85	0.9880952381	0.2063296413
86	0.9850746269	0.204088041
87	0.9850746269	0.2018826725
88	0.9880952381	0.1997364219
