iter	Passed	Remaining
0	8	8685
1	16	8162
2	22	7581
3	29	7383
4	35	7148
5	42	7027
6	48	6913
7	55	6832
8	61	6786
9	68	6741
10	74	6703
11	80	6664
12	87	6614
13	93	6596
14	99	6561
15	106	6567
16	113	6540
17	119	6540
18	127	6564
19	133	6533
20	139	6514
21	146	6496
22	152	6478
23	158	6454
24	164	6434
25	171	6425
26	180	6489
27	188	6534
28	195	6556
29	203	6594
30	211	6606
31	221	6689
32	227	6672
33	235	6680
34	241	6664
35	248	6654
36	254	6634
37	261	6613
38	267	6592
39	273	6571
40	280	6552
41	286	6538
42	293	6526
43	299	6512
44	306	6498
45	313	6511
46	320	6498
47	326	6485
48	333	6472
49	340	6460
50	346	6445
51	356	6492
52	364	6511
53	373	6538
54	380	6543
55	390	6583
56	397	6574
57	405	6578
58	411	6565
59	418	6556
60	425	6543
61	431	6530
62	438	6520
63	444	6506
64	451	6492
65	457	6479
66	464	6467
67	470	6454
68	477	6443
69	484	6436
70	491	6424
71	497	6411
72	503	6399
73	510	6387
74	517	6377
75	528	6421
76	535	6424
77	544	6431
78	551	6429
79	560	6450
80	567	6442
81	575	6440
82	581	6429
83	588	6418
84	595	6408
85	601	6397
86	608	6387
87	615	6374
88	621	6364
89	628	6351
90	634	6340
91	641	6329
92	647	6319
93	654	6308
94	660	6296
95	667	6285
96	673	6273
97	680	6260
98	686	6251
99	693	6241
100	702	6256
101	710	6258
102	719	6261
103	728	6273
104	737	6287
105	746	6293
106	753	6284
107	759	6274
108	766	6267
109	773	6257
110	779	6246
111	786	6234
112	792	6224
113	799	6213
114	806	6205
115	813	6198
116	819	6187
117	826	6176
118	832	6166
119	839	6156
120	846	6146
121	852	6136
122	859	6127
123	865	6116
124	872	6109
125	882	6122
126	891	6129
127	900	6135
128	909	6140
129	920	6159
130	927	6154
131	935	6153
132	942	6144
133	949	6138
134	956	6129
135	963	6120
136	970	6111
137	976	6101
138	983	6093
139	990	6084
140	997	6077
141	1004	6067
142	1011	6059
143	1017	6049
144	1024	6041
145	1031	6034
146	1038	6025
147	1046	6023
148	1055	6027
149	1064	6029
150	1072	6029
151	1080	6029
152	1088	6027
153	1098	6034
154	1106	6029
155	1112	6020
156	1119	6010
157	1126	6003
158	1133	5994
159	1140	5986
160	1146	5976
161	1153	5967
162	1161	5964
163	1168	5956
164	1175	5947
165	1182	5938
166	1188	5928
167	1195	5918
168	1201	5908
169	1208	5897
170	1214	5888
171	1221	5878
172	1230	5882
173	1238	5878
174	1247	5880
175	1255	5878
176	1264	5879
177	1275	5888
178	1282	5882
179	1289	5872
180	1296	5867
181	1303	5857
182	1310	5849
183	1316	5840
184	1323	5831
185	1330	5821
186	1336	5811
187	1343	5803
188	1349	5792
189	1356	5782
